step,train_loss,val_loss,lr
1740,1.661201,,4.228412e-05
1750,1.602592,,4.137060e-05
1760,1.625558,,4.049088e-05
1770,1.560098,,3.964520e-05
1780,1.582058,,3.883380e-05
1790,1.665293,,3.805688e-05
1800,1.645434,,3.731467e-05
1800,,2.020610,
1810,1.509471,,3.660737e-05
1820,1.597043,,3.593517e-05
1830,1.673136,,3.529825e-05
1840,1.573025,,3.469680e-05
1850,1.605266,,3.413096e-05
1860,1.569048,,3.360091e-05
1870,1.658990,,3.310678e-05
1880,1.520874,,3.264870e-05
1890,1.650204,,3.222681e-05
1900,1.588958,,3.184122e-05
1910,1.636428,,3.149204e-05
1920,1.584929,,3.117935e-05
1930,1.615883,,3.090325e-05
1940,1.579102,,3.066381e-05
1950,1.591136,,3.046109e-05
1960,1.482326,,3.029516e-05
1970,1.699002,,3.016605e-05
1980,1.648602,,3.007381e-05
1990,1.685055,,3.001845e-05
2000,,2.025916,
